plz,einwohner,qkm,lat,lon
490,153932,119.693261,52.27785,8.05961
491,164240,728.974646,52.27878,8.27461
492,34498,130.921472,52.07683,7.97238
493,117292,537.289093,52.19563,8.34774
494,183791,1433.501091,52.28890,7.77865
495,148794,1047.668765,52.36044,7.70715
496,134810,1200.426987,52.77227,7.95240
497,136174,1468.735349,52.74671,7.37112
498,122914,1049.497345,52.52472,7.34058
501,166088,356.930256,50.94071,6.61630
502,102695,117.224440,50.97095,6.79585
503,182921,230.495727,50.81432,6.86958
506,121677,16.580793,50.93733,6.95923
507,189226,98.567374,51.01930,6.90470
508,146648,44.651002,50.95042,6.90386
509,189938,76.016293,50.89576,6.95745
510,144852,51.866286,50.98459,7.03832
511,213660,117.178447,50.89645,7.06868
513,177105,106.289932,51.06506,7.00829
514,135734,151.948257,50.96679,7.21468
515,148068,609.978754,50.87486,7.65441
516,97067,265.595303,51.11692,7.41940
517,73201,241.638401,51.02648,7.35951
520,236437,160.990030,50.75982,6.11155
521,119206,312.420618,50.59986,6.33192
522,110950,174.142260,50.78438,6.24432
523,185579,636.772982,50.77510,6.51790
524,146403,364.121762,50.93918,6.31408
525,121659,322.672882,51.01004,6.05558
531,241277,108.060768,50.70176,7.09860
532,64530,32.990579,50.73890,7.15850
533,138403,271.602100,50.68042,7.01272
534,72009,194.959693,50.55614,7.19756
535,99544,772.611167,50.43801,6.91573
536,69035,130.833905,50.67960,7.27585
537,186001,299.151010,50.81237,7.24217
538,235472,563.983556,50.61249,6.73138
539,123657,1034.995444,50.47079,6.54312
542,113491,192.492761,49.77778,6.66113
543,89206,576.994831,49.72648,6.78597
544,93210,990.778460,49.78802,7.02100
545,130556,1717.949668,50.12026,6.74722
546,76002,1231.205353,50.04960,6.38836
551,200379,98.008737,49.96541,8.25771
552,224504,667.628662,49.84855,8.22896
554,130263,866.444904,49.98933,7.59824
555,129325,598.148772,49.80955,7.79548
556,26301,242.529961,49.80113,7.47760
557,77610,693.962995,49.70788,7.29756
560,107868,105.608162,50.34625,7.58401
561,79599,208.540669,50.32121,7.68113
562,137406,861.303832,50.50774,7.71928
563,105940,814.435899,50.22246,7.79426
564,112077,530.749174,50.52681,7.95099
565,103435,239.962519,50.51137,7.49653
566,59721,190.306832,50.42175,7.29926
567,85964,605.971658,50.30912,7.16481
568,53292,619.060178,50.06070,7.23740
570,99246,114.615627,50.88142,8.03172
572,136507,535.300473,50.86383,8.16334
573,105632,1073.222260,51.07452,8.23563
574,98092,428.005002,51.08651,7.89012
575,95688,369.852834,50.78058,7.81323
576,62248,431.076013,50.66471,7.71487
580,134267,116.900318,51.34229,7.50221
581,53768,43.257871,51.33864,7.56587
582,108510,140.512042,51.43065,7.56805
583,87930,131.190363,51.26603,7.46525
584,96364,72.367233,51.42708,7.34069
585,138799,390.947612,51.18233,7.56456
586,129933,193.257391,51.38774,7.73160
587,130488,273.931619,51.46145,7.78478
588,57696,284.804907,51.26899,7.85206
590,176184,226.341473,51.66163,7.82168
591,110866,123.871446,51.60466,7.68766
592,88533,234.419061,51.76554,7.97300
593,177520,833.095508,51.73470,7.52880
594,165304,324.017122,51.53949,7.89330
595,175318,857.556766,51.55798,8.18894
596,21108,231.769112,51.50205,8.43690
597,46259,99.349841,51.43161,7.95938
598,96630,618.962209,51.31490,8.14567
599,78014,755.443483,51.28965,8.47255
603,235507,56.629765,50.13470,8.71701
604,218592,74.588935,50.16608,8.65437
605,110244,79.454841,50.06215,8.63752
611,145053,319.398153,50.26334,8.85216
612,112907,438.182407,50.34624,8.52051
613,84439,116.723713,50.25418,8.60065
614,92921,120.346614,50.20727,8.48964
630,113242,44.805477,50.09182,8.78191
631,143377,140.061623,50.04600,8.83213
632,69628,53.459475,50.00692,8.63966
633,76523,97.997638,50.00029,8.72106
634,142904,138.380416,50.14765,8.86964
635,177201,451.956942,50.18909,9.16178
636,148038,1065.366610,50.31635,9.18279
637,161509,291.582744,49.99613,9.16336
638,142497,712.103259,49.97468,9.34161
639,54871,348.215369,49.64047,9.19446
642,143712,122.061413,49.87470,8.66512
643,170980,362.446784,49.81060,8.76702
644,19683,71.475179,49.76634,8.81099
645,123121,293.423642,49.87166,8.46032
646,133890,319.846052,49.67623,8.66508
647,79892,528.964389,49.66344,8.99054
648,99791,305.588590,49.89457,8.88867
651,163948,70.143932,50.09121,8.21452
